"School","Student_Enrolled","Student_Present","Student_Present_Percent","Student_Active_Cases","Staff_Employed","Staff_Present","Staff_Present_Percent","Staff_Active_Cases","Date","Level","Student_Maximum_Active_Cases","Staff_Maximum_Active_Cases"
"South Knoxville Elementary School","181","162",89.5,"0","105","97",92.38,"0",2021-09-16 17:18:45,"Elementary",0,0
"South-Doyle High School","1046","880",84.13,"≤5","102","93",91.18,"≤5",2021-09-16 17:18:45,"High",5,5
"South-Doyle Middle School","807","706",87.48,"≤15","26","23",88.46,"≤5",2021-09-16 17:18:45,"Middle",15,5
"Spring Hill Elementary School","475","404",85.05,"0","69","63",91.3,"0",2021-09-16 17:18:45,"Elementary",0,0
"Sterchi Elementary School","349","308",88.25,"≤5","45","44",97.78,"0",2021-09-16 17:18:45,"Elementary",5,0
"Sunnyview Primary","229","210",91.7,"≤15","33","28",84.85,"0",2021-09-16 17:18:45,"Other",15,0
"Vine Middle Magnet","455","407",89.45,"≤5","58","53",91.38,"≤5",2021-09-16 17:18:45,"Middle",5,5
"West Haven Elementary School","326","287",88.04,"≤15","42","37",88.1,"0",2021-09-16 17:18:45,"Elementary",15,0
"West High School","1534","1415",92.24,"≤5","117","105",89.74,"0",2021-09-16 17:18:45,"High",5,0
"West Hills Elementary School","699","635",90.84,"≤15","94","81",86.17,"≤5",2021-09-16 17:18:45,"Elementary",15,5
"West Valley Middle School","1127","1043",92.55,"≤5","88","76",86.36,"0",2021-09-16 17:18:45,"Middle",5,0
"West View Elementary School","198","190",95.96,"0","34","32",94.12,"0",2021-09-16 17:18:45,"Elementary",0,0
"Whittle Springs Middle School","461","387",83.95,"≤5","57","51",89.47,"≤5",2021-09-16 17:18:45,"Middle",5,5
"A.L. Lotts Elementary School","959","884",92.18,"≤15","88","79",89.77,"0",2021-09-16 22:17:00,"Elementary",15,0
"Adrian Burnett Elementary School","501","462",92.22,"≤5","61","56",91.8,"0",2021-09-16 22:17:00,"Elementary",5,0
"Amherst Elementary School","662","619",93.5,"≤5","81","74",91.36,"0",2021-09-16 22:17:00,"Elementary",5,0
"Austin East Magnet High School","672","597",88.84,"≤5","102","96",94.12,"≤5",2021-09-16 22:17:00,"High",5,5
