"County","State","Community_Transmission_Level","Percent_Fully_Vaccinated","Percent_Fully_Vaccinated_Under_65","Percent_Estimated_Vaccination_Hesitant","Percent_Estimated_Vaccination_Strongly_Hesitant","Percent_State_ICU_Beds_Filled","Percent_County_ICU_Beds_Filled","Population","FIPS","Vaccination_Data_Is_For_County","Area_of_Concern_Category"
"Chippewa","WI",NA,56.7,48.4822316460542,15.31,9.18,67,64,64658,55017,TRUE,"ModerateBurden"
"Madison","NE",NA,45.6,39.1328779371735,8.48,5.21,72,69,35099,31119,TRUE,"ModerateBurden"
"Otero","NM",NA,60.6,55.6974172682273,8.63,4.68,83,96,67490,35035,TRUE,"ModerateBurden"
"Franklin","VA",NA,43.4,35.4909647233274,5.74,3.94,65,79,56042,51067,TRUE,"ModerateBurden"
"Morgan","IL",NA,54.5,47.2716779644148,10.42,6.46,62,97,33658,17137,TRUE,"ModerateBurden"
"Llano","TX",NA,51.3,40.9015655011813,12.64,8.47,87,94,21795,48299,TRUE,"ModerateBurden"
"Ward","ND",NA,48.7,44.0062529025587,14.47,9.88,51,87,67641,38101,TRUE,"ModerateBurden"
"Tippah","MS",NA,41.8,33.4461170627929,19.59,13.57,77,14,22015,28139,TRUE,"ModerateBurden"
"Lake","CA",NA,59,52.5893795720053,8.59,4.22,71,64,64386,6033,TRUE,"ModerateBurden"
"Randolph","WV",NA,54.3,46.9920223981546,10.21,7.83,77,48,28695,54083,TRUE,"ModerateBurden"
"Pickaway","OH",NA,50.4,44.0279529631673,15.91,9.68,67,86,58457,39129,TRUE,"ModerateBurden"
"Sumter","SC",NA,56.8,50.870956476176,15.24,8.63,65,34,106721,45085,TRUE,"ModerateBurden"
"Bailey","TX",NA,38.8,33.1511977454204,11.43,7.66,87,91,7000,48017,TRUE,"ModerateBurden"
"Grundy","MO",NA,35.2,27.4790672245936,14.82,9,72,NA,9850,29079,TRUE,"ModerateBurden"
"Pulaski","MO",NA,50.7,48.291438859998,15.44,9.4,72,73,52607,29169,TRUE,"ModerateBurden"
"Shiawassee","MI",NA,51.3,43.7163118924942,9.54,5.84,73,86,68122,26155,TRUE,"ModerateBurden"
"Petersburg city","VA",NA,34.9,29.3226002445102,6.82,4.69,65,61,31346,51730,TRUE,"ModerateBurden"
"Colleton","SC",NA,48.3,41.6478415414498,14.76,8.38,65,71,37677,45029,TRUE,"ModerateBurden"
"San Benito","CA",NA,66.5,63.8779430705969,7.72,3.81,71,78,62808,6069,TRUE,"ModerateBurden"
"Osage","OK",NA,34.6,30.457127249823,18.71,13.03,76,62,46963,40113,TRUE,"ModerateBurden"
"Buffalo","WI",NA,50.1,41.2585094246391,16.11,9.59,67,64,13031,55011,TRUE,"ModerateBurden"
"Rutherford","NC",NA,41.5,34.3374467164631,13.39,10.37,78,70,67029,37161,TRUE,"ModerateBurden"
"Lincoln","NM",NA,58.4,48.725608418238,8.63,4.68,83,96,19572,35027,TRUE,"ModerateBurden"
"Freeborn","MN",NA,57.4,49.2777164405491,7.72,4.13,69,64,30281,27047,TRUE,"ModerateBurden"
"Calhoun","TX",NA,57.2,49.5063085622382,10.65,6.99,87,73,21290,48057,TRUE,"ModerateBurden"
"Plumas","CA",NA,71.1,68.0241798983306,9.23,4.65,71,NA,18807,6063,FALSE,"ModerateBurden"
"Madison","IN",NA,52.2,44.6372517580293,13.76,8.6,72,69,129569,18095,TRUE,"ModerateBurden"
